"Notes"	"State"	"State Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"Age Group"	"Age Group Code"	Population
	"Montana"	"30"	"2016"	"2016"	"55-59 years"	"55-59"	76862
	"Montana"	"30"	"2016"	"2016"	"60-64 years "	"60-64"	75296
	"Montana"	"30"	"2016"	"2016"	"65-69 years"	"65-69"	65516
	"Montana"	"30"	"2016"	"2016"	"70-74 years"	"70-74"	43854
	"Montana"	"30"	"2016"	"2016"	"75-79 years"	"75-79"	30840
	"Montana"	"30"	"2016"	"2016"	"80-84 years"	"80-84"	20491
	"Montana"	"30"	"2016"	"2016"	"85+ years"	"85+"	22536
"Total"	"Montana"	"30"	"2016"	"2016"			1042137
	"Montana"	"30"	"2017"	"2017"	"< 1 year"	"1"	12151
	"Montana"	"30"	"2017"	"2017"	"1-4 years"	"1-4"	50853
	"Montana"	"30"	"2017"	"2017"	"5-9 years"	"5-9"	63887
	"Montana"	"30"	"2017"	"2017"	"10-14 years"	"10-14"	64552
	"Montana"	"30"	"2017"	"2017"	"15-19 years"	"15-19"	63762
	"Montana"	"30"	"2017"	"2017"	"20-24 years"	"20-24"	73467
	"Montana"	"30"	"2017"	"2017"	"25-29 years"	"25-29"	70024
	"Montana"	"30"	"2017"	"2017"	"30-34 years"	"30-34"	66112
	"Montana"	"30"	"2017"	"2017"	"35-39 years"	"35-39"	66096
	"Montana"	"30"	"2017"	"2017"	"40-44 years"	"40-44"	57317
	"Montana"	"30"	"2017"	"2017"	"45-49 years"	"45-49"	59037
	"Montana"	"30"	"2017"	"2017"	"50-54 years"	"50-54"	63862
	"Montana"	"30"	"2017"	"2017"	"55-59 years"	"55-59"	75945
	"Montana"	"30"	"2017"	"2017"	"60-64 years "	"60-64"	76279
	"Montana"	"30"	"2017"	"2017"	"65-69 years"	"65-69"	66617
	"Montana"	"30"	"2017"	"2017"	"70-74 years"	"70-74"	48163
	"Montana"	"30"	"2017"	"2017"	"75-79 years"	"75-79"	32136
	"Montana"	"30"	"2017"	"2017"	"80-84 years"	"80-84"	21037
	"Montana"	"30"	"2017"	"2017"	"85+ years"	"85+"	22565
"Total"	"Montana"	"30"	"2017"	"2017"			1053862
	"Montana"	"30"	"2018"	"2018"	"< 1 year"	"1"	11705
	"Montana"	"30"	"2018"	"2018"	"1-4 years"	"1-4"	50484
	"Montana"	"30"	"2018"	"2018"	"5-9 years"	"5-9"	63595
	"Montana"	"30"	"2018"	"2018"	"10-14 years"	"10-14"	65325
	"Montana"	"30"	"2018"	"2018"	"15-19 years"	"15-19"	63864
	"Montana"	"30"	"2018"	"2018"	"20-24 years"	"20-24"	72432
	"Montana"	"30"	"2018"	"2018"	"25-29 years"	"25-29"	71543
	"Montana"	"30"	"2018"	"2018"	"30-34 years"	"30-34"	66220
	"Montana"	"30"	"2018"	"2018"	"35-39 years"	"35-39"	67525
	"Montana"	"30"	"2018"	"2018"	"40-44 years"	"40-44"	59224
	"Montana"	"30"	"2018"	"2018"	"45-49 years"	"45-49"	58927
	"Montana"	"30"	"2018"	"2018"	"50-54 years"	"50-54"	61323
	"Montana"	"30"	"2018"	"2018"	"55-59 years"	"55-59"	74630
	"Montana"	"30"	"2018"	"2018"	"60-64 years "	"60-64"	76841
	"Montana"	"30"	"2018"	"2018"	"65-69 years"	"65-69"	68595
	"Montana"	"30"	"2018"	"2018"	"70-74 years"	"70-74"	50669
	"Montana"	"30"	"2018"	"2018"	"75-79 years"	"75-79"	34342
	"Montana"	"30"	"2018"	"2018"	"80-84 years"	"80-84"	21818
	"Montana"	"30"	"2018"	"2018"	"85+ years"	"85+"	22756
"Total"	"Montana"	"30"	"2018"	"2018"			1061818
	"Montana"	"30"	"2019"	"2019"	"< 1 year"	"1"	11352
	"Montana"	"30"	"2019"	"2019"	"1-4 years"	"1-4"	49592
	"Montana"	"30"	"2019"	"2019"	"5-9 years"	"5-9"	64018
	"Montana"	"30"	"2019"	"2019"	"10-14 years"	"10-14"	65640
	"Montana"	"30"	"2019"	"2019"	"15-19 years"	"15-19"	64205
	"Montana"	"30"	"2019"	"2019"	"20-24 years"	"20-24"	72074
	"Montana"	"30"	"2019"	"2019"	"25-29 years"	"25-29"	72179
	"Montana"	"30"	"2019"	"2019"	"30-34 years"	"30-34"	67006
	"Montana"	"30"	"2019"	"2019"	"35-39 years"	"35-39"	68904
	"Montana"	"30"	"2019"	"2019"	"40-44 years"	"40-44"	61289
	"Montana"	"30"	"2019"	"2019"	"45-49 years"	"45-49"	58438
	"Montana"	"30"	"2019"	"2019"	"50-54 years"	"50-54"	59479
	"Montana"	"30"	"2019"	"2019"	"55-59 years"	"55-59"	73051
	"Montana"	"30"	"2019"	"2019"	"60-64 years "	"60-64"	77036
	"Montana"	"30"	"2019"	"2019"	"65-69 years"	"65-69"	70496
	"Montana"	"30"	"2019"	"2019"	"70-74 years"	"70-74"	53816
	"Montana"	"30"	"2019"	"2019"	"75-79 years"	"75-79"	35925
	"Montana"	"30"	"2019"	"2019"	"80-84 years"	"80-84"	22667
	"Montana"	"30"	"2019"	"2019"	"85+ years"	"85+"	22956
"Total"	"Montana"	"30"	"2019"	"2019"			1070123
	"Montana"	"30"	"2020"	"2020"	"< 1 year"	"1"	11365
	"Montana"	"30"	"2020"	"2020"	"1-4 years"	"1-4"	48549
	"Montana"	"30"	"2020"	"2020"	"5-9 years"	"5-9"	64831
	"Montana"	"30"	"2020"	"2020"	"10-14 years"	"10-14"	66038
	"Montana"	"30"	"2020"	"2020"	"15-19 years"	"15-19"	64601
	"Montana"	"30"	"2020"	"2020"	"20-24 years"	"20-24"	72288
	"Montana"	"30"	"2020"	"2020"	"25-29 years"	"25-29"	71991
	"Montana"	"30"	"2020"	"2020"	"30-34 years"	"30-34"	68626
	"Montana"	"30"	"2020"	"2020"	"35-39 years"	"35-39"	69500
	"Montana"	"30"	"2020"	"2020"	"40-44 years"	"40-44"	64184
	"Montana"	"30"	"2020"	"2020"	"45-49 years"	"45-49"	58066
	"Montana"	"30"	"2020"	"2020"	"50-54 years"	"50-54"	59026
	"Montana"	"30"	"2020"	"2020"	"55-59 years"	"55-59"	70868
	"Montana"	"30"	"2020"	"2020"	"60-64 years "	"60-64"	77252
	"Montana"	"30"	"2020"	"2020"	"65-69 years"	"65-69"	72136
	"Montana"	"30"	"2020"	"2020"	"70-74 years"	"70-74"	57438
	"Montana"	"30"	"2020"	"2020"	"75-79 years"	"75-79"	37308
	"Montana"	"30"	"2020"	"2020"	"80-84 years"	"80-84"	23438
	"Montana"	"30"	"2020"	"2020"	"85+ years"	"85+"	23072
"Total"	"Montana"	"30"	"2020"	"2020"			1080577
"Total"	"Montana"	"30"					21656687
	"Nebraska"	"31"	"1999"	"1999"	"< 1 year"	"1"	23110
	"Nebraska"	"31"	"1999"	"1999"	"1-4 years"	"1-4"	93224
	"Nebraska"	"31"	"1999"	"1999"	"5-9 years"	"5-9"	124124
	"Nebraska"	"31"	"1999"	"1999"	"10-14 years"	"10-14"	129603
	"Nebraska"	"31"	"1999"	"1999"	"15-19 years"	"15-19"	135215
	"Nebraska"	"31"	"1999"	"1999"	"20-24 years"	"20-24"	118151
	"Nebraska"	"31"	"1999"	"1999"	"25-29 years"	"25-29"	111807
	"Nebraska"	"31"	"1999"	"1999"	"30-34 years"	"30-34"	111440
	"Nebraska"	"31"	"1999"	"1999"	"35-39 years"	"35-39"	132900
	"Nebraska"	"31"	"1999"	"1999"	"40-44 years"	"40-44"	133007
	"Nebraska"	"31"	"1999"	"1999"	"45-49 years"	"45-49"	120758
	"Nebraska"	"31"	"1999"	"1999"	"50-54 years"	"50-54"	98618
	"Nebraska"	"31"	"1999"	"1999"	"55-59 years"	"55-59"	75854
	"Nebraska"	"31"	"1999"	"1999"	"60-64 years "	"60-64"	64422
	"Nebraska"	"31"	"1999"	"1999"	"65-69 years"	"65-69"	59730
	"Nebraska"	"31"	"1999"	"1999"	"70-74 years"	"70-74"	56690
	"Nebraska"	"31"	"1999"	"1999"	"75-79 years"	"75-79"	47817
	"Nebraska"	"31"	"1999"	"1999"	"80-84 years"	"80-84"	34439
	"Nebraska"	"31"	"1999"	"1999"	"85+ years"	"85+"	33855
"Total"	"Nebraska"	"31"	"1999"	"1999"			1704764
	"Nebraska"	"31"	"2000"	"2000"	"< 1 year"	"1"	23695
	"Nebraska"	"31"	"2000"	"2000"	"1-4 years"	"1-4"	93294
	"Nebraska"	"31"	"2000"	"2000"	"5-9 years"	"5-9"	122881
	"Nebraska"	"31"	"2000"	"2000"	"10-14 years"	"10-14"	129380
	"Nebraska"	"31"	"2000"	"2000"	"15-19 years"	"15-19"	135348
	"Nebraska"	"31"	"2000"	"2000"	"20-24 years"	"20-24"	120920
	"Nebraska"	"31"	"2000"	"2000"	"25-29 years"	"25-29"	111269
	"Nebraska"	"31"	"2000"	"2000"	"30-34 years"	"30-34"	111336
	"Nebraska"	"31"	"2000"	"2000"	"35-39 years"	"35-39"	129477
	"Nebraska"	"31"	"2000"	"2000"	"40-44 years"	"40-44"	134051
	"Nebraska"	"31"	"2000"	"2000"	"45-49 years"	"45-49"	123423
	"Nebraska"	"31"	"2000"	"2000"	"50-54 years"	"50-54"	104010
	"Nebraska"	"31"	"2000"	"2000"	"55-59 years"	"55-59"	78053
	"Nebraska"	"31"	"2000"	"2000"	"60-64 years "	"60-64"	64253
	"Nebraska"	"31"	"2000"	"2000"	"65-69 years"	"65-69"	59171
	"Nebraska"	"31"	"2000"	"2000"	"70-74 years"	"70-74"	56212
	"Nebraska"	"31"	"2000"	"2000"	"75-79 years"	"75-79"	48072
	"Nebraska"	"31"	"2000"	"2000"	"80-84 years"	"80-84"	34809
	"Nebraska"	"31"	"2000"	"2000"	"85+ years"	"85+"	34166
"Total"	"Nebraska"	"31"	"2000"	"2000"			1713820
	"Nebraska"	"31"	"2001"	"2001"	"< 1 year"	"1"	24517
	"Nebraska"	"31"	"2001"	"2001"	"1-4 years"	"1-4"	93223
	"Nebraska"	"31"	"2001"	"2001"	"5-9 years"	"5-9"	120900
	"Nebraska"	"31"	"2001"	"2001"	"10-14 years"	"10-14"	128883
	"Nebraska"	"31"	"2001"	"2001"	"15-19 years"	"15-19"	137463
	"Nebraska"	"31"	"2001"	"2001"	"20-24 years"	"20-24"	122268
	"Nebraska"	"31"	"2001"	"2001"	"25-29 years"	"25-29"	108473
	"Nebraska"	"31"	"2001"	"2001"	"30-34 years"	"30-34"	111972
	"Nebraska"	"31"	"2001"	"2001"	"35-39 years"	"35-39"	124156
	"Nebraska"	"31"	"2001"	"2001"	"40-44 years"	"40-44"	134367
	"Nebraska"	"31"	"2001"	"2001"	"45-49 years"	"45-49"	125961
	"Nebraska"	"31"	"2001"	"2001"	"50-54 years"	"50-54"	110437
	"Nebraska"	"31"	"2001"	"2001"	"55-59 years"	"55-59"	79846
	"Nebraska"	"31"	"2001"	"2001"	"60-64 years "	"60-64"	65089
	"Nebraska"	"31"	"2001"	"2001"	"65-69 years"	"65-69"	58545
	"Nebraska"	"31"	"2001"	"2001"	"70-74 years"	"70-74"	55828
	"Nebraska"	"31"	"2001"	"2001"	"75-79 years"	"75-79"	48131
	"Nebraska"	"31"	"2001"	"2001"	"80-84 years"	"80-84"	35394
	"Nebraska"	"31"	"2001"	"2001"	"85+ years"	"85+"	34383
"Total"	"Nebraska"	"31"	"2001"	"2001"			1719836
	"Nebraska"	"31"	"2002"	"2002"	"< 1 year"	"1"	24595
	"Nebraska"	"31"	"2002"	"2002"	"1-4 years"	"1-4"	94599
	"Nebraska"	"31"	"2002"	"2002"	"5-9 years"	"5-9"	119449
	"Nebraska"	"31"	"2002"	"2002"	"10-14 years"	"10-14"	128853
	"Nebraska"	"31"	"2002"	"2002"	"15-19 years"	"15-19"	136692
	"Nebraska"	"31"	"2002"	"2002"	"20-24 years"	"20-24"	125788
	"Nebraska"	"31"	"2002"	"2002"	"25-29 years"	"25-29"	106944
	"Nebraska"	"31"	"2002"	"2002"	"30-34 years"	"30-34"	112864
	"Nebraska"	"31"	"2002"	"2002"	"35-39 years"	"35-39"	119511
	"Nebraska"	"31"	"2002"	"2002"	"40-44 years"	"40-44"	134101
	"Nebraska"	"31"	"2002"	"2002"	"45-49 years"	"45-49"	127799
	"Nebraska"	"31"	"2002"	"2002"	"50-54 years"	"50-54"	112291
	"Nebraska"	"31"	"2002"	"2002"	"55-59 years"	"55-59"	85926
	"Nebraska"	"31"	"2002"	"2002"	"60-64 years "	"60-64"	66681
	"Nebraska"	"31"	"2002"	"2002"	"65-69 years"	"65-69"	58349
	"Nebraska"	"31"	"2002"	"2002"	"70-74 years"	"70-74"	55307
	"Nebraska"	"31"	"2002"	"2002"	"75-79 years"	"75-79"	47988
	"Nebraska"	"31"	"2002"	"2002"	"80-84 years"	"80-84"	36083
	"Nebraska"	"31"	"2002"	"2002"	"85+ years"	"85+"	34472
"Total"	"Nebraska"	"31"	"2002"	"2002"			1728292
	"Nebraska"	"31"	"2003"	"2003"	"< 1 year"	"1"	25350
	"Nebraska"	"31"	"2003"	"2003"	"1-4 years"	"1-4"	96389
	"Nebraska"	"31"	"2003"	"2003"	"5-9 years"	"5-9"	118240
	"Nebraska"	"31"	"2003"	"2003"	"10-14 years"	"10-14"	128365
	"Nebraska"	"31"	"2003"	"2003"	"15-19 years"	"15-19"	135381
	"Nebraska"	"31"	"2003"	"2003"	"20-24 years"	"20-24"	129696
	"Nebraska"	"31"	"2003"	"2003"	"25-29 years"	"25-29"	107194
	"Nebraska"	"31"	"2003"	"2003"	"30-34 years"	"30-34"	113526
	"Nebraska"	"31"	"2003"	"2003"	"35-39 years"	"35-39"	114623
	"Nebraska"	"31"	"2003"	"2003"	"40-44 years"	"40-44"	133352
	"Nebraska"	"31"	"2003"	"2003"	"45-49 years"	"45-49"	129771
	"Nebraska"	"31"	"2003"	"2003"	"50-54 years"	"50-54"	115435
	"Nebraska"	"31"	"2003"	"2003"	"55-59 years"	"55-59"	89938
	"Nebraska"	"31"	"2003"	"2003"	"60-64 years "	"60-64"	69385
	"Nebraska"	"31"	"2003"	"2003"	"65-69 years"	"65-69"	58715
	"Nebraska"	"31"	"2003"	"2003"	"70-74 years"	"70-74"	54259
	"Nebraska"	"31"	"2003"	"2003"	"75-79 years"	"75-79"	48126
	"Nebraska"	"31"	"2003"	"2003"	"80-84 years"	"80-84"	36139
	"Nebraska"	"31"	"2003"	"2003"	"85+ years"	"85+"	34759
"Total"	"Nebraska"	"31"	"2003"	"2003"			1738643
	"Nebraska"	"31"	"2004"	"2004"	"< 1 year"	"1"	25850
	"Nebraska"	"31"	"2004"	"2004"	"1-4 years"	"1-4"	98428
	"Nebraska"	"31"	"2004"	"2004"	"5-9 years"	"5-9"	118118
	"Nebraska"	"31"	"2004"	"2004"	"10-14 years"	"10-14"	127717
	"Nebraska"	"31"	"2004"	"2004"	"15-19 years"	"15-19"	133763
	"Nebraska"	"31"	"2004"	"2004"	"20-24 years"	"20-24"	132785
	"Nebraska"	"31"	"2004"	"2004"	"25-29 years"	"25-29"	107354
	"Nebraska"	"31"	"2004"	"2004"	"30-34 years"	"30-34"	113300
	"Nebraska"	"31"	"2004"	"2004"	"35-39 years"	"35-39"	112030
	"Nebraska"	"31"	"2004"	"2004"	"40-44 years"	"40-44"	131734
	"Nebraska"	"31"	"2004"	"2004"	"45-49 years"	"45-49"	130531
	"Nebraska"	"31"	"2004"	"2004"	"50-54 years"	"50-54"	118565
	"Nebraska"	"31"	"2004"	"2004"	"55-59 years"	"55-59"	94862
	"Nebraska"	"31"	"2004"	"2004"	"60-64 years "	"60-64"	72203
	"Nebraska"	"31"	"2004"	"2004"	"65-69 years"	"65-69"	59238
	"Nebraska"	"31"	"2004"	"2004"	"70-74 years"	"70-74"	53243
	"Nebraska"	"31"	"2004"	"2004"	"75-79 years"	"75-79"	48016
	"Nebraska"	"31"	"2004"	"2004"	"80-84 years"	"80-84"	36783
	"Nebraska"	"31"	"2004"	"2004"	"85+ years"	"85+"	34850
"Total"	"Nebraska"	"31"	"2004"	"2004"			1749370
	"Nebraska"	"31"	"2005"	"2005"	"< 1 year"	"1"	25525
	"Nebraska"	"31"	"2005"	"2005"	"1-4 years"	"1-4"	100726
	"Nebraska"	"31"	"2005"	"2005"	"5-9 years"	"5-9"	118041
	"Nebraska"	"31"	"2005"	"2005"	"10-14 years"	"10-14"	125798
	"Nebraska"	"31"	"2005"	"2005"	"15-19 years"	"15-19"	133391
	"Nebraska"	"31"	"2005"	"2005"	"20-24 years"	"20-24"	135345
	"Nebraska"	"31"	"2005"	"2005"	"25-29 years"	"25-29"	107820
	"Nebraska"	"31"	"2005"	"2005"	"30-34 years"	"30-34"	113502
	"Nebraska"	"31"	"2005"	"2005"	"35-39 years"	"35-39"	111069
	"Nebraska"	"31"	"2005"	"2005"	"40-44 years"	"40-44"	127900
	"Nebraska"	"31"	"2005"	"2005"	"45-49 years"	"45-49"	132368
	"Nebraska"	"31"	"2005"	"2005"	"50-54 years"	"50-54"	121439
	"Nebraska"	"31"	"2005"	"2005"	"55-59 years"	"55-59"	100999
	"Nebraska"	"31"	"2005"	"2005"	"60-64 years "	"60-64"	74148
	"Nebraska"	"31"	"2005"	"2005"	"65-69 years"	"65-69"	59606
	"Nebraska"	"31"	"2005"	"2005"	"70-74 years"	"70-74"	53130
	"Nebraska"	"31"	"2005"	"2005"	"75-79 years"	"75-79"	47938
	"Nebraska"	"31"	"2005"	"2005"	"80-84 years"	"80-84"	37168
	"Nebraska"	"31"	"2005"	"2005"	"85+ years"	"85+"	35584
"Total"	"Nebraska"	"31"	"2005"	"2005"			1761497
	"Nebraska"	"31"	"2006"	"2006"	"< 1 year"	"1"	25824
	"Nebraska"	"31"	"2006"	"2006"	"1-4 years"	"1-4"	101729
	"Nebraska"	"31"	"2006"	"2006"	"5-9 years"	"5-9"	119374
	"Nebraska"	"31"	"2006"	"2006"	"10-14 years"	"10-14"	124213
	"Nebraska"	"31"	"2006"	"2006"	"15-19 years"	"15-19"	132554
	"Nebraska"	"31"	"2006"	"2006"	"20-24 years"	"20-24"	135370
	"Nebraska"	"31"	"2006"	"2006"	"25-29 years"	"25-29"	111323
	"Nebraska"	"31"	"2006"	"2006"	"30-34 years"	"30-34"	112007
	"Nebraska"	"31"	"2006"	"2006"	"35-39 years"	"35-39"	111855
	"Nebraska"	"31"	"2006"	"2006"	"40-44 years"	"40-44"	122948
	"Nebraska"	"31"	"2006"	"2006"	"45-49 years"	"45-49"	133170
	"Nebraska"	"31"	"2006"	"2006"	"50-54 years"	"50-54"	123666
	"Nebraska"	"31"	"2006"	"2006"	"55-59 years"	"55-59"	107599
	"Nebraska"	"31"	"2006"	"2006"	"60-64 years "	"60-64"	75825
	"Nebraska"	"31"	"2006"	"2006"	"65-69 years"	"65-69"	60595
	"Nebraska"	"31"	"2006"	"2006"	"70-74 years"	"70-74"	52890
	"Nebraska"	"31"	"2006"	"2006"	"75-79 years"	"75-79"	47871
	"Nebraska"	"31"	"2006"	"2006"	"80-84 years"	"80-84"	37562
	"Nebraska"	"31"	"2006"	"2006"	"85+ years"	"85+"	36318
"Total"	"Nebraska"	"31"	"2006"	"2006"			1772693
	"Nebraska"	"31"	"2007"	"2007"	"< 1 year"	"1"	26338
	"Nebraska"	"31"	"2007"	"2007"	"1-4 years"	"1-4"	102779
	"Nebraska"	"31"	"2007"	"2007"	"5-9 years"	"5-9"	120767
	"Nebraska"	"31"	"2007"	"2007"	"10-14 years"	"10-14"	122973
	"Nebraska"	"31"	"2007"	"2007"	"15-19 years"	"15-19"	132019
	"Nebraska"	"31"	"2007"	"2007"	"20-24 years"	"20-24"	132382
	"Nebraska"	"31"	"2007"	"2007"	"25-29 years"	"25-29"	116991
	"Nebraska"	"31"	"2007"	"2007"	"30-34 years"	"30-34"	111309
	"Nebraska"	"31"	"2007"	"2007"	"35-39 years"	"35-39"	111698
	"Nebraska"	"31"	"2007"	"2007"	"40-44 years"	"40-44"	118375
	"Nebraska"	"31"	"2007"	"2007"	"45-49 years"	"45-49"	133204
	"Nebraska"	"31"	"2007"	"2007"	"50-54 years"	"50-54"	125502
	"Nebraska"	"31"	"2007"	"2007"	"55-59 years"	"55-59"	109369
	"Nebraska"	"31"	"2007"	"2007"	"60-64 years "	"60-64"	82012
	"Nebraska"	"31"	"2007"	"2007"	"65-69 years"	"65-69"	62263
	"Nebraska"	"31"	"2007"	"2007"	"70-74 years"	"70-74"	52948
	"Nebraska"	"31"	"2007"	"2007"	"75-79 years"	"75-79"	47612
	"Nebraska"	"31"	"2007"	"2007"	"80-84 years"	"80-84"	37537
	"Nebraska"	"31"	"2007"	"2007"	"85+ years"	"85+"	37362
"Total"	"Nebraska"	"31"	"2007"	"2007"			1783440
	"Nebraska"	"31"	"2008"	"2008"	"< 1 year"	"1"	26398
	"Nebraska"	"31"	"2008"	"2008"	"1-4 years"	"1-4"	103726
	"Nebraska"	"31"	"2008"	"2008"	"5-9 years"	"5-9"	123980
	"Nebraska"	"31"	"2008"	"2008"	"10-14 years"	"10-14"	122239
	"Nebraska"	"31"	"2008"	"2008"	"15-19 years"	"15-19"	131223
	"Nebraska"	"31"	"2008"	"2008"	"20-24 years"	"20-24"	130843
	"Nebraska"	"31"	"2008"	"2008"	"25-29 years"	"25-29"	121349
	"Nebraska"	"31"	"2008"	"2008"	"30-34 years"	"30-34"	112497
	"Nebraska"	"31"	"2008"	"2008"	"35-39 years"	"35-39"	111717
	"Nebraska"	"31"	"2008"	"2008"	"40-44 years"	"40-44"	113521
	"Nebraska"	"31"	"2008"	"2008"	"45-49 years"	"45-49"	132311
	"Nebraska"	"31"	"2008"	"2008"	"50-54 years"	"50-54"	127405
	"Nebraska"	"31"	"2008"	"2008"	"55-59 years"	"55-59"	112383
	"Nebraska"	"31"	"2008"	"2008"	"60-64 years "	"60-64"	86038
	"Nebraska"	"31"	"2008"	"2008"	"65-69 years"	"65-69"	64608
	"Nebraska"	"31"	"2008"	"2008"	"70-74 years"	"70-74"	53468
	"Nebraska"	"31"	"2008"	"2008"	"75-79 years"	"75-79"	47080
	"Nebraska"	"31"	"2008"	"2008"	"80-84 years"	"80-84"	37832
	"Nebraska"	"31"	"2008"	"2008"	"85+ years"	"85+"	37760
"Total"	"Nebraska"	"31"	"2008"	"2008"			1796378
	"Nebraska"	"31"	"2009"	"2009"	"< 1 year"	"1"	26211
	"Nebraska"	"31"	"2009"	"2009"	"1-4 years"	"1-4"	104664
	"Nebraska"	"31"	"2009"	"2009"	"5-9 years"	"5-9"	126785
	"Nebraska"	"31"	"2009"	"2009"	"10-14 years"	"10-14"	122516
	"Nebraska"	"31"	"2009"	"2009"	"15-19 years"	"15-19"	130196
	"Nebraska"	"31"	"2009"	"2009"	"20-24 years"	"20-24"	129496
	"Nebraska"	"31"	"2009"	"2009"	"25-29 years"	"25-29"	126154
	"Nebraska"	"31"	"2009"	"2009"	"30-34 years"	"30-34"	114397
	"Nebraska"	"31"	"2009"	"2009"	"35-39 years"	"35-39"	110758
	"Nebraska"	"31"	"2009"	"2009"	"40-44 years"	"40-44"	111063
	"Nebraska"	"31"	"2009"	"2009"	"45-49 years"	"45-49"	131106
	"Nebraska"	"31"	"2009"	"2009"	"50-54 years"	"50-54"	128590
	"Nebraska"	"31"	"2009"	"2009"	"55-59 years"	"55-59"	115543
	"Nebraska"	"31"	"2009"	"2009"	"60-64 years "	"60-64"	91072
	"Nebraska"	"31"	"2009"	"2009"	"65-69 years"	"65-69"	67236
	"Nebraska"	"31"	"2009"	"2009"	"70-74 years"	"70-74"	54071
	"Nebraska"	"31"	"2009"	"2009"	"75-79 years"	"75-79"	46311
	"Nebraska"	"31"	"2009"	"2009"	"80-84 years"	"80-84"	37852
	"Nebraska"	"31"	"2009"	"2009"	"85+ years"	"85+"	38662
"Total"	"Nebraska"	"31"	"2009"	"2009"			1812683
	"Nebraska"	"31"	"2010"	"2010"	"< 1 year"	"1"	26073
	"Nebraska"	"31"	"2010"	"2010"	"1-4 years"	"1-4"	105851
	"Nebraska"	"31"	"2010"	"2010"	"5-9 years"	"5-9"	129206
	"Nebraska"	"31"	"2010"	"2010"	"10-14 years"	"10-14"	123033
	"Nebraska"	"31"	"2010"	"2010"	"15-19 years"	"15-19"	129190
	"Nebraska"	"31"	"2010"	"2010"	"20-24 years"	"20-24"	128925
	"Nebraska"	"31"	"2010"	"2010"	"25-29 years"	"25-29"	129121
	"Nebraska"	"31"	"2010"	"2010"	"30-34 years"	"30-34"	117142
	"Nebraska"	"31"	"2010"	"2010"	"35-39 years"	"35-39"	110240
	"Nebraska"	"31"	"2010"	"2010"	"40-44 years"	"40-44"	110459
	"Nebraska"	"31"	"2010"	"2010"	"45-49 years"	"45-49"	127538
	"Nebraska"	"31"	"2010"	"2010"	"50-54 years"	"50-54"	130341
	"Nebraska"	"31"	"2010"	"2010"	"55-59 years"	"55-59"	118408
	"Nebraska"	"31"	"2010"	"2010"	"60-64 years "	"60-64"	96758
	"Nebraska"	"31"	"2010"	"2010"	"65-69 years"	"65-69"	69214
	"Nebraska"	"31"	"2010"	"2010"	"70-74 years"	"70-74"	54412
	"Nebraska"	"31"	"2010"	"2010"	"75-79 years"	"75-79"	46260
	"Nebraska"	"31"	"2010"	"2010"	"80-84 years"	"80-84"	37869
	"Nebraska"	"31"	"2010"	"2010"	"85+ years"	"85+"	39551
"Total"	"Nebraska"	"31"	"2010"	"2010"			1829591
	"Nebraska"	"31"	"2011"	"2011"	"< 1 year"	"1"	25624
	"Nebraska"	"31"	"2011"	"2011"	"1-4 years"	"1-4"	105726
	"Nebraska"	"31"	"2011"	"2011"	"5-9 years"	"5-9"	130397
	"Nebraska"	"31"	"2011"	"2011"	"10-14 years"	"10-14"	124296
	"Nebraska"	"31"	"2011"	"2011"	"15-19 years"	"15-19"	129382
	"Nebraska"	"31"	"2011"	"2011"	"20-24 years"	"20-24"	129280
	"Nebraska"	"31"	"2011"	"2011"	"25-29 years"	"25-29"	128525
	"Nebraska"	"31"	"2011"	"2011"	"30-34 years"	"30-34"	121022
	"Nebraska"	"31"	"2011"	"2011"	"35-39 years"	"35-39"	109132
	"Nebraska"	"31"	"2011"	"2011"	"40-44 years"	"40-44"	110954
	"Nebraska"	"31"	"2011"	"2011"	"45-49 years"	"45-49"	122604
	"Nebraska"	"31"	"2011"	"2011"	"50-54 years"	"50-54"	131074
	"Nebraska"	"31"	"2011"	"2011"	"55-59 years"	"55-59"	120520
	"Nebraska"	"31"	"2011"	"2011"	"60-64 years "	"60-64"	103047
	"Nebraska"	"31"	"2011"	"2011"	"65-69 years"	"65-69"	70585
	"Nebraska"	"31"	"2011"	"2011"	"70-74 years"	"70-74"	54946
	"Nebraska"	"31"	"2011"	"2011"	"75-79 years"	"75-79"	45820
	"Nebraska"	"31"	"2011"	"2011"	"80-84 years"	"80-84"	37857
	"Nebraska"	"31"	"2011"	"2011"	"85+ years"	"85+"	40123
"Total"	"Nebraska"	"31"	"2011"	"2011"			1840914
	"Nebraska"	"31"	"2012"	"2012"	"< 1 year"	"1"	25689
	"Nebraska"	"31"	"2012"	"2012"	"1-4 years"	"1-4"	105216
	"Nebraska"	"31"	"2012"	"2012"	"5-9 years"	"5-9"	131827
	"Nebraska"	"31"	"2012"	"2012"	"10-14 years"	"10-14"	125706
	"Nebraska"	"31"	"2012"	"2012"	"15-19 years"	"15-19"	128175
	"Nebraska"	"31"	"2012"	"2012"	"20-24 years"	"20-24"	131729
	"Nebraska"	"31"	"2012"	"2012"	"25-29 years"	"25-29"	126898
	"Nebraska"	"31"	"2012"	"2012"	"30-34 years"	"30-34"	124539
	"Nebraska"	"31"	"2012"	"2012"	"35-39 years"	"35-39"	109548
	"Nebraska"	"31"	"2012"	"2012"	"40-44 years"	"40-44"	111601
